,batting_team,bowling_team,current_score,wickets_left,crr,city,balls_left,last_five,target
45868,Pakistan,New Zealand,78,8,7.43,Auckland,57,36.0,172
39771,West Indies,Bangladesh,103,8,7.82,Mirpur,41,48.0,172
48037,England,Afghanistan,72,4,5.61,Delhi,43,22.0,143
19108,South Africa,Bangladesh,65,8,9.75,Johannesburg,80,62.0,119
8278,New Zealand,Sri Lanka,60,5,5.22,Auckland,51,27.0,180
49352,England,West Indies,33,7,5.35,Kolkata,83,26.0,156
13671,Pakistan,New Zealand,136,3,7.42,Auckland,10,57.0,154
50481,Sri Lanka,Australia,111,3,6.4,Colombo,16,35.0,129
19174,Australia,South Africa,16,9,5.05,Johannesburg,101,16.0,167
19744,England,West Indies,111,4,7.09,Trinidad,26,29.0,122
47608,Sri Lanka,West Indies,21,9,6.3,Bangalore,100,21.0,123
31307,India,Afghanistan,75,7,6.25,Colombo,48,31.0,160
41969,South Africa,West Indies,65,8,11.14,Johannesburg,85,54.0,232
30270,India,England,16,8,4.57,Kolkata,99,16.0,121
21112,New Zealand,Pakistan,85,4,5.6,London,29,26.0,100
6871,Sri Lanka,South Africa,45,7,7.11,Cape Town,82,45.0,135
2012,New Zealand,England,38,10,8.77,Wellington,94,38.0,197
5577,India,Sri Lanka,133,7,8.4,Colombo,25,44.0,175
31454,New Zealand,Bangladesh,126,8,8.13,Pallekele,27,49.0,192
14874,New Zealand,Sri Lanka,123,7,9.34,Wellington,41,39.0,163
50234,Bangladesh,India,83,5,6.73,Mirpur,46,34.0,121
41474,Pakistan,South Africa,31,9,5.03,Cape Town,83,28.0,177
4481,India,England,117,5,6.44,Cardiff,11,35.0,149
30068,New Zealand,South Africa,83,9,7.78,Hamilton,56,38.0,174
15941,New Zealand,Sri Lanka,34,8,5.83,Johannesburg,85,31.0,165
46213,Sri Lanka,West Indies,62,10,10.33,Pallekele,84,52.0,216
1430,West Indies,Pakistan,48,3,4.3,Dubai,53,22.0,116
39470,West Indies,India,18,10,3.48,Mirpur,89,17.0,130
14451,West Indies,New Zealand,19,9,4.38,Auckland,94,19.0,127
5705,Bangladesh,India,109,5,6.96,Colombo,26,35.0,140
149,Australia,Sri Lanka,35,10,9.13,Adelaide,97,35.0,188
27214,Sri Lanka,India,79,9,11.56,Chandigarh,79,60.0,207
13147,Australia,India,139,7,9.07,Sydney,28,44.0,195
39115,Pakistan,India,47,7,5.42,Mirpur,68,30.0,131
27929,New Zealand,Sri Lanka,9,6,3.18,Lauderhill,103,9.0,82
28418,New Zealand,Pakistan,35,9,7.78,Hamilton,93,35.0,186
36264,Australia,Pakistan,42,10,7.88,Dubai,88,42.0,169
9114,West Indies,India,34,7,4.98,Kolkata,79,22.0,110
36103,Australia,Pakistan,86,2,4.69,Dubai,10,23.0,90
2041,New Zealand,England,71,9,7.89,Wellington,66,37.0,197
35564,Pakistan,South Africa,104,9,10.06,Centurion,58,63.0,196
34384,West Indies,Australia,5,10,30.0,Barbados,119,5.0,161
34061,West Indies,England,130,6,7.5,Nottingham,16,57.0,173
6025,India,Bangladesh,54,10,8.1,Colombo,80,48.0,177
8744,Pakistan,New Zealand,33,8,5.08,Abu Dhabi,81,25.0,149
34067,West Indies,England,142,6,7.82,Nottingham,11,57.0,173
13733,Pakistan,New Zealand,57,6,6.58,Hamilton,68,34.0,164
27634,Australia,England,113,8,7.7,Adelaide,32,27.0,158
18290,Australia,India,54,9,9.53,Mumbai,86,42.0,167
33420,Pakistan,Australia,91,8,6.82,Colombo,40,47.0,150
41463,Pakistan,South Africa,25,9,5.77,Cape Town,94,25.0,177
31890,India,England,50,9,8.82,Colombo,86,44.0,171
34068,West Indies,England,142,6,7.75,Nottingham,10,56.0,173
7389,Australia,India,73,7,7.82,Sydney,64,37.0,165
47789,Bangladesh,Australia,81,6,6.57,Bangalore,46,35.0,157
31402,New Zealand,Bangladesh,45,9,6.59,Pallekele,79,29.0,192
45335,Sri Lanka,England,19,9,5.18,Southampton,98,19.0,141
15403,West Indies,England,164,3,8.48,London,4,34.0,170
40056,Australia,West Indies,164,3,8.71,Mirpur,7,50.0,179
38838,New Zealand,Sri Lanka,3,10,6.0,Pallekele,117,3.0,143
22871,Australia,Pakistan,6,10,5.14,Dubai,113,6.0,109
38966,Afghanistan,Bangladesh,8,9,4.8,Mirpur,110,8.0,73
28955,West Indies,Pakistan,99,9,8.49,St Lucia,50,43.0,151
26286,Australia,England,85,6,6.14,Barbados,37,42.0,148
27425,England,Pakistan,2,10,3.0,Dubai,116,2.0,149
44844,India,Australia,35,10,7.78,Melbourne,93,35.0,185
2313,England,New Zealand,106,8,9.49,Hamilton,53,57.0,195
10468,India,West Indies,116,10,11.41,Mumbai,59,48.0,241
44954,Australia,India,17,9,6.38,Sydney,104,17.0,198
34253,Pakistan,Bangladesh,125,4,6.64,Mirpur,7,27.0,136
8564,Pakistan,Australia,122,6,7.04,Dubai,16,34.0,148
44280,Sri Lanka,Pakistan,99,5,7.33,Colombo,39,38.0,173
37895,South Africa,Australia,54,7,6.23,Centurion,68,34.0,129
28380,Pakistan,New Zealand,119,1,6.43,Auckland,9,29.0,144
45630,New Zealand,Sri Lanka,104,9,8.79,Mount Maunganui,49,38.0,183
31211,West Indies,Bangladesh,110,5,6.53,Mirpur,19,33.0,133
30419,West Indies,England,58,9,7.25,London,72,31.0,126
37298,England,Australia,115,3,6.22,Melbourne,9,21.0,131
34229,Pakistan,Bangladesh,105,5,7.0,Mirpur,30,37.0,136
33684,Sri Lanka,Pakistan,109,8,6.67,Colombo,22,31.0,140
17725,New Zealand,Pakistan,75,8,6.72,Cape Town,53,32.0,144
42761,New Zealand,Pakistan,51,8,6.51,Dubai,73,36.0,145
38586,West Indies,New Zealand,156,5,7.93,Wellington,2,55.0,160
47593,Sri Lanka,West Indies,13,10,15.6,Bangalore,115,13.0,123
30302,India,England,60,7,6.79,Kolkata,67,40.0,121
46624,South Africa,Sri Lanka,18,10,9.82,Cape Town,109,18.0,170
48669,England,Sri Lanka,117,7,7.16,Delhi,22,42.0,172
1497,Pakistan,West Indies,3,10,1.8,Dubai,110,3.0,161
39909,Sri Lanka,England,137,9,8.65,Chittagong,25,54.0,190
28136,Pakistan,South Africa,115,4,6.05,Abu Dhabi,6,41.0,121
5891,Sri Lanka,India,42,8,9.33,Colombo,93,42.0,153
5622,Bangladesh,India,22,9,6.95,Colombo,101,22.0,140
22737,England,South Africa,187,4,9.67,Johannesburg,4,40.0,203
11499,West Indies,India,33,5,5.21,Lauderhill,82,26.0,96
